Provider ID,Hospital Name,Address,City,State,ZIP Code,County Name,Phone Number,Hospital Type,Hospital Ownership,Emergency Services,Location
010034,COMMUNITY HOSPITAL INC,805 FRIENDSHIP ROAD,TALLASSEE,AL,36078,ELMORE,3342836541,Acute Care Hospitals,Voluntary non-profit - Private,true,"805 FRIENDSHIP ROAD
TALLASSEE, AL 36078
(32.535308, -85.912104)"
010035,CULLMAN REGIONAL MEDICAL CENTER,1912 ALABAMA HIGHWAY 157,CULLMAN,AL,35058,CULLMAN,2567372000,Acute Care Hospitals,Government - Hospital District or Authority,true,"1912 ALABAMA HIGHWAY 157
CULLMAN, AL 35058
(34.198579, -86.805369)"
010036,ANDALUSIA REGIONAL HOSPITAL,849 SOUTH THREE NOTCH STREET,ANDALUSIA,AL,36420,COVINGTON,3342228466,Acute Care Hospitals,Proprietary,true,"849 SOUTH THREE NOTCH STREET
ANDALUSIA, AL 36420
(31.297461, -86.495601)"
010038,STRINGFELLOW MEMORIAL HOSPITAL,301 EAST 18TH ST,ANNISTON,AL,36201,CALHOUN,2562358900,Acute Care Hospitals,Proprietary,true,"301 EAST 18TH ST
ANNISTON, AL 36201
(33.667701, -85.825025)"
010039,HUNTSVILLE HOSPITAL,101 SIVLEY RD,HUNTSVILLE,AL,35801,MADISON,2562651000,Acute Care Hospitals,Government - Hospital District or Authority,true,"101 SIVLEY RD
HUNTSVILLE, AL 35801
(34.721067, -86.582196)"
010040,GADSDEN REGIONAL MEDICAL CENTER,1007 GOODYEAR AVENUE,GADSDEN,AL,35903,ETOWAH,2564944000,Acute Care Hospitals,Proprietary,true,"1007 GOODYEAR AVENUE
GADSDEN, AL 35903
(34.009389, -85.96752)"
010044,MARION REGIONAL MEDICAL CENTER,1256 MILITARY STREET SOUTH,HAMILTON,AL,35570,MARION,2059216200,Acute Care Hospitals,Voluntary non-profit - Private,true,"1256 MILITARY STREET SOUTH
HAMILTON, AL 35570
(34.12602, -87.989811)"
010045,FAYETTE MEDICAL CENTER,1653 TEMPLE AVENUE NORTH,FAYETTE,AL,35555,FAYETTE,2059325966,Acute Care Hospitals,Voluntary non-profit - Other,true,"1653 TEMPLE AVENUE NORTH
FAYETTE, AL 35555
(33.707717, -87.823737)"
010046,RIVERVIEW REGIONAL MEDICAL CENTER,600 SOUTH THIRD STREET,GADSDEN,AL,35901,ETOWAH,2565435200,Acute Care Hospitals,Proprietary,true,"600 SOUTH THIRD STREET
GADSDEN, AL 35901
(34.004976, -86.003963)"
010047,GEORGIANA MEDICAL CENTER,515 N MIRANDA AVENUE,GEORGIANA,AL,36033,BUTLER,3343762205,Acute Care Hospitals,Proprietary,true,"515 N MIRANDA AVENUE
GEORGIANA, AL 36033
(31.644527, -86.742733)"
010049,MEDICAL CENTER ENTERPRISE,400 N EDWARDS STREET,ENTERPRISE,AL,36330,COFFEE,3343470584,Acute Care Hospitals,Proprietary,true,"400 N EDWARDS STREET
ENTERPRISE, AL 36330
(31.318144, -85.855319)"
010051,GREENE COUNTY HOSPITAL,509 WILSON AVENUE,EUTAW,AL,35462,GREENE,2053723388,Acute Care Hospitals,Government - Local,false,"509 WILSON AVENUE
EUTAW, AL 35462
(32.844744, -87.889307)"
010052,LAKE MARTIN COMMUNITY HOSPITAL,201 MARIARDEN ROAD,DADEVILLE,AL,36853,TALLAPOOSA,2568257821,Acute Care Hospitals,Proprietary,true,"201 MARIARDEN ROAD
DADEVILLE, AL 36853
(32.819955, -85.741599)"
010055,FLOWERS HOSPITAL,4370 WEST MAIN STREET,DOTHAN,AL,36305,HOUSTON,3347935000,Acute Care Hospitals,Proprietary,true,"4370 WEST MAIN STREET
DOTHAN, AL 36305
(31.235991, -85.457937)"
010056,ST VINCENT'S BIRMINGHAM,810 ST VINCENT'S DRIVE,BIRMINGHAM,AL,35205,JEFFERSON,2059397000,Acute Care Hospitals,Voluntary non-profit - Private,true,"810 ST VINCENT'S DRIVE
BIRMINGHAM, AL 35205
(33.507948, -86.788627)"
010058,BIBB MEDICAL CENTER,208 PIERSON AVE,CENTREVILLE,AL,35042,BIBB,2059264881,Acute Care Hospitals,Government - Hospital District or Authority,true,"208 PIERSON AVE
CENTREVILLE, AL 35042
(32.951367, -87.146934)"
010059,LAWRENCE MEDICAL CENTER,202 HOSPITAL STREET,MOULTON,AL,35650,LAWRENCE,2569742200,Acute Care Hospitals,Government - Hospital District or Authority,true,"202 HOSPITAL STREET
MOULTON, AL 35650
(34.482884, -87.286019)"
010061,HIGHLANDS MEDICAL CENTER,380 WOODS COVE ROAD,SCOTTSBORO,AL,35768,JACKSON,2562594444,Acute Care Hospitals,Government - Hospital District or Authority,true,"380 WOODS COVE ROAD
SCOTTSBORO, AL 35768
(34.663091, -86.045507)"
010062,WIREGRASS MEDICAL CENTER,1200 W MAPLE AVENUE,GENEVA,AL,36340,GENEVA,3346843655,Acute Care Hospitals,Government - Hospital District or Authority,true,"1200 W MAPLE AVENUE
GENEVA, AL 36340
(31.047753, -85.892518)"
010065,RUSSELL HOSPITAL,3316 HIGHWAY 280,ALEXANDER CITY,AL,35010,TALLAPOOSA,2563297100,Acute Care Hospitals,Voluntary non-profit - Private,true,"3316 HIGHWAY 280
ALEXANDER CITY, AL 35010
(32.928407, -85.965371)"
010069,MEDICAL CENTER BARBOUR,820 W WASHINGTON ST,EUFAULA,AL,36027,BARBOUR,3346887271,Acute Care Hospitals,Government - Hospital District or Authority,true,"820 W WASHINGTON ST
EUFAULA, AL 36027
(31.888006, -85.155487)"
010073,CLAY COUNTY HOSPITAL,83825 HIGHWAY 9    P O BOX 1270,ASHLAND,AL,36251,CLAY,2563542131,Acute Care Hospitals,Government - Hospital District or Authority,true,"83825 HIGHWAY 9 P O BOX 1270
ASHLAND, AL 36251
"
010078,NORTHEAST ALABAMA REGIONAL MED CENTER,400 EAST 10TH STREET,ANNISTON,AL,36207,CALHOUN,2562355121,Acute Care Hospitals,Government - Local,true,"400 EAST 10TH STREET
ANNISTON, AL 36207
(33.657123, -85.823353)"
010079,ATHENS-LIMESTONE HOSPITAL,700 WEST MARKET STREET,ATHENS,AL,35611,LIMESTONE,2562339292,Acute Care Hospitals,Government - Hospital District or Authority,true,"700 WEST MARKET STREET
ATHENS, AL 35611
(34.803499, -86.977803)"
010083,SOUTH BALDWIN REGIONAL MEDICAL CENTER,1613 NORTH MCKENZIE STREET,FOLEY,AL,36535,BALDWIN,2519493400,Acute Care Hospitals,Proprietary,true,"1613 NORTH MCKENZIE STREET
FOLEY, AL 36535
(30.426686, -87.683193)"
010085,DECATUR MORGAN HOSPITAL-DECATUR CAMPUS,1201 7TH STREET SE,DECATUR,AL,35601,MORGAN,2563412000,Acute Care Hospitals,Government - Hospital District or Authority,true,"1201 7TH STREET SE
DECATUR, AL 35601
(34.591169, -86.972786)"
010086,NORTHWEST MEDICAL CENTER,1530 U S HIGHWAY 43,WINFIELD,AL,35594,MARION,2054877736,Acute Care Hospitals,Proprietary,true,"1530 U S HIGHWAY 43
WINFIELD, AL 35594
(33.928894, -87.82373)"
010087,UNIVERSITY OF SOUTH ALABAMA MEDICAL CENTER,2451 FILLINGIM STREET,MOBILE,AL,36617,MOBILE,2514717110,Acute Care Hospitals,Government - State,true,"2451 FILLINGIM STREET
MOBILE, AL 36617
(30.708197, -88.098946)"
010089,WALKER BAPTIST MEDICAL CENTER,3400 HIGHWAY 78 EAST,JASPER,AL,35502,WALKER,2053874000,Acute Care Hospitals,Voluntary non-profit - Private,true,"3400 HIGHWAY 78 EAST
JASPER, AL 35502
(33.841142, -87.236879)"
010090,PROVIDENCE HOSPITAL,6801 AIRPORT BOULEVARD,MOBILE,AL,36608,MOBILE,2516331000,Acute Care Hospitals,Voluntary non-profit - Church,true,"6801 AIRPORT BOULEVARD
MOBILE, AL 36608
(30.682265, -88.199618)"
010091,GROVE HILL MEMORIAL HOSPITAL,295 JACKSON HWY S,GROVE HILL,AL,36451,CLARKE,2512753191,Acute Care Hospitals,Government - Hospital District or Authority,true,"295 JACKSON HWY S
GROVE HILL, AL 36451
"
010092,D C H REGIONAL MEDICAL CENTER,809 UNIVERSITY BOULEVARD EAST,TUSCALOOSA,AL,35401,TUSCALOOSA,2057597111,Acute Care Hospitals,Government - Hospital District or Authority,true,"809 UNIVERSITY BOULEVARD EAST
TUSCALOOSA, AL 35401
(33.206164, -87.52551)"
010095,HALE COUNTY HOSPITAL,508 GREEN STREET,GREENSBORO,AL,36744,HALE,3346243024,Acute Care Hospitals,Government - Local,true,"508 GREEN STREET
GREENSBORO, AL 36744
(32.69472, -87.585443)"
010097,ELMORE COMMUNITY HOSPITAL,500 HOSPITAL DRIVE,WETUMPKA,AL,36092,ELMORE,3345674311,Acute Care Hospitals,Government - State,true,"500 HOSPITAL DRIVE
WETUMPKA, AL 36092
(32.552, -86.186183)"
010099,D W MCMILLAN MEMORIAL HOSPITAL,1301 BELLEVILLE AVENUE,BREWTON,AL,36426,ESCAMBIA,2518678061,Acute Care Hospitals,Government - Hospital District or Authority,true,"1301 BELLEVILLE AVENUE
BREWTON, AL 36426
(31.127144, -87.072399)"
010100,THOMAS HOSPITAL,750 MORPHY AVENUE,FAIRHOPE,AL,36532,BALDWIN,2519282375,Acute Care Hospitals,Government - Hospital District or Authority,true,"750 MORPHY AVENUE
FAIRHOPE, AL 36532
(30.519999, -87.890333)"
010101,CITIZENS BAPTIST MEDICAL CENTER,604 STONE AVENUE,TALLADEGA,AL,35161,TALLADEGA,2567614542,Acute Care Hospitals,Voluntary non-profit - Private,true,"604 STONE AVENUE
TALLADEGA, AL 35161
(33.439798, -86.091984)"
010102,J PAUL JONES HOSPITAL,317 MCWILLIAMS AVENUE,CAMDEN,AL,36726,WILCOX,3346824131,Acute Care Hospitals,Voluntary non-profit - Other,true,"317 MCWILLIAMS AVENUE
CAMDEN, AL 36726
(31.995605, -87.299427)"
010103,BAPTIST MEDICAL CENTER-PRINCETON,701 PRINCETON AVENUE SOUTHWEST,BIRMINGHAM,AL,35211,JEFFERSON,2057833800,Acute Care Hospitals,Voluntary non-profit - Church,true,"701 PRINCETON AVENUE SOUTHWEST
BIRMINGHAM, AL 35211
(33.498977, -86.846442)"
010104,TRINITY MEDICAL CENTER,800 MONTCLAIR RD,BIRMINGHAM,AL,35213,JEFFERSON,2055921000,Acute Care Hospitals,Proprietary,true,"800 MONTCLAIR RD
BIRMINGHAM, AL 35213
(33.514854, -86.74741)"
010108,PRATTVILLE BAPTIST HOSPITAL,124 S MEMORIAL DR,PRATTVILLE,AL,36067,AUTAUGA,3343614267,Acute Care Hospitals,Government - Hospital District or Authority,true,"124 S MEMORIAL DR
PRATTVILLE, AL 36067
(32.463514, -86.450939)"
010109,PICKENS COUNTY MEDICAL CENTER,241 ROBERT K WILSON DRIVE,CARROLLTON,AL,35447,PICKENS,2053678111,Acute Care Hospitals,Government - Hospital District or Authority,true,"241 ROBERT K WILSON DRIVE
CARROLLTON, AL 35447
(33.274807, -88.089673)"
010110,BULLOCK COUNTY HOSPITAL,102 WEST CONECUH AVENUE,UNION SPRINGS,AL,36089,BULLOCK,3347382140,Acute Care Hospitals,Proprietary,true,"102 WEST CONECUH AVENUE
UNION SPRINGS, AL 36089
(32.146178, -85.715994)"
010112,BRYAN W. WHITFIELD MEMORIAL HOSPITAL,105 HIGHWAY 80 EAST,DEMOPOLIS,AL,36732,MARENGO,3342894000,Acute Care Hospitals,Government - Hospital District or Authority,true,"105 HIGHWAY 80 EAST
DEMOPOLIS, AL 36732
(32.268794, -86.57684)"
010113,MOBILE INFIRMARY,5 MOBILE INFIRMARY CIRCLE,MOBILE,AL,36652,MOBILE,2514354700,Acute Care Hospitals,Voluntary non-profit - Private,true,"5 MOBILE INFIRMARY CIRCLE
MOBILE, AL 36652
(30.696591, -88.081622)"
010114,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",995 9TH AVENUE SOUTHWEST,BESSEMER,AL,35021,JEFFERSON,2054817000,Acute Care Hospitals,Government - Hospital District or Authority,true,"995 9TH AVENUE SOUTHWEST
BESSEMER, AL 35021
(33.379573, -86.986239)"
010118,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS,1015 MEDICAL CENTER PARKWAY,SELMA,AL,36701,DALLAS,3344184100,Acute Care Hospitals,Proprietary,true,"1015 MEDICAL CENTER PARKWAY
SELMA, AL 36701
(32.430311, -87.055271)"
010120,MONROE COUNTY HOSPITAL,"2016 SOUTH ALABAMA AVENUE, BOX 886",MONROEVILLE,AL,36460,MONROE,2515753111,Acute Care Hospitals,Government - Local,true,"2016 SOUTH ALABAMA AVENUE, BOX 886
MONROEVILLE, AL 36460
(31.49935, -87.319144)"
010125,LAKELAND COMMUNITY HOSPITAL,42024 HIGHWAY 195 E,HALEYVILLE,AL,35565,WINSTON,2054857117,Acute Care Hospitals,Voluntary non-profit - Church,true,"42024 HIGHWAY 195 E
HALEYVILLE, AL 35565
(34.241156, -87.590799)"
010126,TROY REGIONAL MEDICAL CENTER,1330 HIGHWAY 231 SOUTH,TROY,AL,36081,PIKE,3346705000,Acute Care Hospitals,Government - Federal,true,"1330 HIGHWAY 231 SOUTH
TROY, AL 36081
(31.78056, -85.946277)"
010128,JACKSON MEDICAL CENTER,220 HOSPITAL DRIVE,JACKSON,AL,36545,CLARKE,2512469021,Acute Care Hospitals,Proprietary,true,"220 HOSPITAL DRIVE
JACKSON, AL 36545
(31.531099, -87.894553)"
010129,NORTH BALDWIN INFIRMARY,1815 HAND AVENUE,BAY MINETTE,AL,36507,BALDWIN,2519375521,Acute Care Hospitals,Voluntary non-profit - Private,true,"1815 HAND AVENUE
BAY MINETTE, AL 36507
(30.901934, -87.783058)"
010130,ST VINCENT'S ST CLAIR,7063 VETERANS PARKWAY,PELL CITY,AL,35125,SAINT CLAIR,2053383301,Acute Care Hospitals,Voluntary non-profit - Private,true,"7063 VETERANS PARKWAY
PELL CITY, AL 35125
(33.605262, -86.298969)"
010131,CRESTWOOD MEDICAL CENTER,ONE HOSPITAL DR SE,HUNTSVILLE,AL,35801,MADISON,2568823100,Acute Care Hospitals,Proprietary,true,"ONE HOSPITAL DR SE
HUNTSVILLE, AL 35801
"
010138,HILL HOSPITAL OF SUMTER COUNTY,751 DERBY DRIVE,YORK,AL,36925,SUMTER,2053925263,Acute Care Hospitals,Voluntary non-profit - Other,true,"751 DERBY DRIVE
YORK, AL 36925
(32.492097, -88.296177)"
010139,BROOKWOOD MEDICAL CENTER,2010 BROOKWOOD MEDICAL CENTER DRIVE,BIRMINGHAM,AL,35209,JEFFERSON,2058771000,Acute Care Hospitals,Proprietary,true,"2010 BROOKWOOD MEDICAL CENTER DRIVE
BIRMINGHAM, AL 35209
(33.463103, -86.776451)"
010144,SPRINGHILL MEMORIAL HOSPITAL,3719 DAUPHIN STREET,MOBILE,AL,36608,MOBILE,2513449630,Acute Care Hospitals,Proprietary,true,"3719 DAUPHIN STREET
MOBILE, AL 36608
(30.686756, -88.130626)"
010146,RMC JACKSONVILLE,1701 SOUTH PELHAM ROAD,JACKSONVILLE,AL,36265,CALHOUN,2567824538,Acute Care Hospitals,Proprietary,true,"1701 SOUTH PELHAM ROAD
JACKSONVILLE, AL 36265
(33.785668, -85.761164)"
010148,EVERGREEN MEDICAL CENTER,101 CRESTVIEW AVENUE,EVERGREEN,AL,36401,CONECUH,2515782480,Acute Care Hospitals,Proprietary,true,"101 CRESTVIEW AVENUE
EVERGREEN, AL 36401
(31.431763, -86.940492)"
010149,BAPTIST MEDICAL CENTER EAST,400 TAYLOR ROAD,MONTGOMERY,AL,36117,MONTGOMERY,3342448330,Acute Care Hospitals,Government - Hospital District or Authority,true,"400 TAYLOR ROAD
MONTGOMERY, AL 36117
(32.376821, -86.172095)"
01014F,BIRMINGHAM VA MEDICAL CENTER,700 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,JEFFERSON,2059334515,ACUTE CARE - VETERANS ADMINISTRATION,Government Federal,false,"700 SOUTH 19TH STREET
BIRMINGHAM, AL 35233
(33.505208, -86.801261)"
010150,L V STABLER MEMORIAL HOSPITAL,29 L V STABLER DRIVE,GREENVILLE,AL,36037,BUTLER,3343822200,Acute Care Hospitals,Proprietary,true,"29 L V STABLER DRIVE
GREENVILLE, AL 36037
(31.82945, -86.64586)"
010157,SHOALS HOSPITAL,201 WEST AVALON AVENUE,MUSCLE SHOALS,AL,35661,COLBERT,2563861601,Acute Care Hospitals,Government - Hospital District or Authority,true,"201 WEST AVALON AVENUE
MUSCLE SHOALS, AL 35661
(34.744941, -87.676511)"
010158,RUSSELLVILLE HOSPITAL,15155 HIGHWAY 43,RUSSELLVILLE,AL,35653,FRANKLIN,2563321611,Acute Care Hospitals,Proprietary,true,"15155 HIGHWAY 43
RUSSELLVILLE, AL 35653
(34.511362, -87.7176)"
010164,COOSA VALLEY MEDICAL CENTER,315 W HICKORY ST,SYLACAUGA,AL,35150,TALLADEGA,2562495000,Acute Care Hospitals,Voluntary non-profit - Other,true,"315 W HICKORY ST
SYLACAUGA, AL 35150
(33.164663, -86.25381)"
010168,JACK HUGHSTON MEMORIAL HOSPITAL,4401 RIVER CHASE DRIVE,PHENIX CITY,AL,36867,RUSSELL,3347323000,Acute Care Hospitals,Government - State,true,"4401 RIVER CHASE DRIVE
PHENIX CITY, AL 36867
(32.509045, -85.005696)"
010169,ATMORE COMMUNITY HOSPITAL,401 MEDICAL PARK DRIVE,ATMORE,AL,36502,ESCAMBIA,2513682500,Acute Care Hospitals,Government - Hospital District or Authority,true,"401 MEDICAL PARK DRIVE
ATMORE, AL 36502
(31.016525, -87.479655)"
01019F,VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTGOMERY,215 PERRY HILL ROAD,MONTGOMERY,AL,36109,MONTGOMERY,3342604100,ACUTE CARE - VETERANS ADMINISTRATION,Government Federal,false,"215 PERRY HILL ROAD
MONTGOMERY, AL 36109
(32.379681, -86.246609)"
01021F,TUSCALOOSA VA MEDICAL CENTER,3701 LOOP ROAD,TUSCALOOSA,AL,35404,TUSCALOOSA,2055542000,ACUTE CARE - VETERANS ADMINISTRATION,Government Federal,false,"3701 LOOP ROAD
TUSCALOOSA, AL 35404
(33.193393, -87.488205)"
011300,WASHINGTON COUNTY HOSPITAL,14600 ST. STEPHENS AVENUE,CHATOM,AL,36518,WASHINGTON,2518472223,Critical Access Hospitals,Proprietary,true,"14600 ST. STEPHENS AVENUE
CHATOM, AL 36518
(31.453192, -88.208144)"
011302,RED BAY HOSPITAL,211 HOSPITAL ROAD,RED BAY,AL,35582,FRANKLIN,2563569532,Critical Access Hospitals,Government - Hospital District or Authority,true,"211 HOSPITAL ROAD
RED BAY, AL 35582
(34.457424, -88.14693)"
011304,CHOCTAW GENERAL HOSPITAL,"401 VANITY FAIR LANE, PO BOX 618",BUTLER,AL,36904,CHOCTAW,2054599100,Critical Access Hospitals,Voluntary non-profit - Private,true,"401 VANITY FAIR LANE, PO BOX 618
BUTLER, AL 36904
(32.092417, -88.208346)"
013301,UNIVERSITY OF S A CHILDREN'S AND WOMEN'S HOS,1700 CENTER STREET,MOBILE,AL,36604,MOBILE,2514151000,Childrens,Government - State,true,"1700 CENTER STREET
MOBILE, AL 36604
(30.696235, -88.07758)"
020001,PROVIDENCE ALASKA MEDICAL CENTER,BOX 196604,ANCHORAGE,AK,99508,ANCHORAGE,9072123675,Acute Care Hospitals,Voluntary non-profit - Church,true,"BOX 196604
ANCHORAGE, AK 99508
"
020006,MAT-SU REGIONAL MEDICAL CENTER,2500 SOUTH WOODWORTH LOOP,PALMER,AK,99645,MATANUSKA SUSITNA,9078616000,Acute Care Hospitals,Voluntary non-profit - Private,true,"2500 SOUTH WOODWORTH LOOP
PALMER, AK 99645
(61.564015, -149.262393)"
020008,BARTLETT REGIONAL HOSPITAL,3260 HOSPITAL DR,JUNEAU,AK,99801,JUNEAU,9077968900,Acute Care Hospitals,Government - Local,true,"3260 HOSPITAL DR
JUNEAU, AK 99801
(58.328647, -134.466731)"
020012,FAIRBANKS MEMORIAL HOSPITAL,1650 COWLES STREET,FAIRBANKS,AK,99701,FAIRBANKS NORTH STAR,9074528181,Acute Care Hospitals,Voluntary non-profit - Other,true,"1650 COWLES STREET
FAIRBANKS, AK 99701
(64.832881, -147.741909)"
020017,ALASKA REGIONAL HOSPITAL,2801 DEBARR ROAD,ANCHORAGE,AK,99508,ANCHORAGE,9072761131,Acute Care Hospitals,Proprietary,true,"2801 DEBARR ROAD
ANCHORAGE, AK 99508
(61.209613, -149.830958)"
020018,YUKON KUSKOKWIM DELTA REG HOSPITAL,PO BOX 287,BETHEL,AK,99559,BETHEL,9075436300,Acute Care Hospitals,Government - Federal,true,"PO BOX 287
BETHEL, AK 99559
"
020026,ALASKA NATIVE MEDICAL CENTER,4315 DIPLOMACY DR,ANCHORAGE,AK,99508,ANCHORAGE,9075632662,Acute Care Hospitals,Government - Federal,true,"4315 DIPLOMACY DR
ANCHORAGE, AK 99508
(61.181884, -149.800711)"
020027,MT EDGECUMBE HOSPITAL,222 TONGASS DR,SITKA,AK,99835,SITKA,9079662411,Acute Care Hospitals,Voluntary non-profit - Private,true,"222 TONGASS DR
SITKA, AK 99835
(57.052571, -135.355702)"
021303,SITKA COMMUNITY HOSPITAL,209 MOLLER DRIVE,SITKA,AK,99835,SITKA,9077473241,Critical Access Hospitals,Government - Local,true,"209 MOLLER DRIVE
SITKA, AK 99835
(57.058627, -135.344275)"
021306,PROVIDENCE KODIAK ISLAND MEDICAL CTR,1915 EAST REZANOF DRIVE,KODIAK,AK,99615,KODIAK ISLAND,9074869592,Critical Access Hospitals,Voluntary non-profit - Private,true,"1915 EAST REZANOF DRIVE
KODIAK, AK 99615
(57.800854, -152.373917)"
021308,NORTON SOUND REGIONAL HOSPITAL,1000 GREG KRUSCHEK AVENUE (P O BOX 966),NOME,AK,99762,NOME,9074433311,Critical Access Hospitals,Voluntary non-profit - Private,true,"1000 GREG KRUSCHEK AVENUE (P O BOX 966)
NOME, AK 99762
"
021309,KANAKANAK HOSPITAL,P O BOX 130,DILLINGHAM,AK,99576,DILLINGHAM,9078425201,Critical Access Hospitals,Voluntary non-profit - Private,true,"P O BOX 130
DILLINGHAM, AK 99576
"
021311,PEACEHEALTH KETCHIKAN MEDICAL CENTER,3100 TONGASS AVENUE,KETCHIKAN,AK,99901,KETCHIKAN GATEWAY,9072255171,Critical Access Hospitals,Voluntary non-profit - Church,true,"3100 TONGASS AVENUE
KETCHIKAN, AK 99901
(55.352784, -131.686295)"
030001,ABRAZO MARYVALE CAMPUS,5102 WEST CAMPBELL AVENUE,PHOENIX,AZ,85031,MARICOPA,6238485957,Acute Care Hospitals,Proprietary,true,"5102 WEST CAMPBELL AVENUE
PHOENIX, AZ 85031
(33.502138, -112.1689)"
030002,BANNER - UNIVERSITY MEDICAL CENTER PHOENIX CAMPUS,1111 EAST MCDOWELL ROAD,PHOENIX,AZ,85006,MARICOPA,6022392000,Acute Care Hospitals,Voluntary non-profit - Other,true,"1111 EAST MCDOWELL ROAD
PHOENIX, AZ 85006
(33.465717, -112.059335)"
